entity recognition,7.65466074047,8.75984361915,9
noun phrases,6.87128873328,8.51666696982,9
part-of-speech tagger,4.03054331869,9.06271028256,9
part-of-speech tags,0.980663353226,9.13536393381,9
chunk structures,0.532519994362,8.86932753044,9
graphical representation,6.41457836141,9.42990442592,9
multi-token sequences,2.61594977735,8.23779275604,8
n-gram chunker,2.63795358814,8.0880135354,8
verb phrases,5.65432179958,6.81463249817,7
prepositional phrases,5.97832666585,6.94508512115,7
tree display window,2.23933667151,7.12902892336,7
chunk node,5.43101679851,7.05810039312,7
node values,2.87470291095,7.01482562124,7
ordinary modifier,7.46068991237,5.72454899636,6
organization,4.93446815182,6.15166684392,6
yankee,8.17650924126,6.0067828363,6
multi-word names,3.34191536995,5.78204573676,6
stanford,3.73138778534,5.92640958489,6
good coverage,3.41581444697,5.56108090206,6
sanchez,4.35507322519,5.51353745319,6
dominican,3.04594916899,6.4766786938,6
vietnam,5.76176322676,5.70673503016,6
such locations,1.61094762012,5.87838643508,6
such names,8.25941577357,4.63680986062,5
poor coverage,6.26977121079,4.25281524029,4
new organizations,2.8186563589,3.23789034188,3
contemporary newswire,3.54686171664,2.85000887475,3
blog entries,6.5371241427,3.27259243898,3
gazetteer lookup,4.40988235907,3.38818312547,3
major source,5.7375509826,2.71008443258,3
entity terms,3.04913584488,3.45140032429,3
discourse structure,7.28676092522,1.20247083928,2
general case,1.90247623485,1.4875197226,2
complex trees,3.00758049135,2.31226882102,2
draw method,5.76804032159,0.639953418998,2
new window,0.759670489228,1.15293476655,2
postscript file,5.50706664558,2.17948966419,2
arbitrary depth,6.05552835507,0.683948102618,2
multi-stage chunk grammar,7.19343375474,0.803290372212,2
recursive rules,3.01026875357,2.06319123922,2
four-stage chunk grammar,7.77760399542,2.2252628591,2
syntactic trees,4.32792589096,1.88455450995,1
homogeneous hierarchical structure,7.29032841146,1.54322372164,1
separate chunks,1.78778031795,1.1394686324,1
corresponding material,5.45034696043,0.745786915353,1
computer monitor,1.00170423583,1.05704128116,1
clearly,8.57718484485,1.49703478499,1
trees,2.28139307765,1.06605464829,1
np,4.86615441079,2.28544919912,1
incorporate information,4.09212427487,1.45196383773,1
previous section,8.96982103794,0.685386518903,1
village conference service center,2.27937629315,2.29433692888,1
